epoch,train_acc,train_loss,test_acc,test_loss
0.0,93.82000000000001,0.15340443384609645,98.86,0.02954692308558151
1.0,98.4,0.04505213908851147,99.36,0.022165465401485562
2.0,98.92,0.029455279778170435,99.14,0.025562094477936625
3.0,99.03999999999999,0.024877056921537542,99.1,0.027106609143083917
4.0,99.22,0.022482763044536114,99.2,0.02425173963420093
5.0,99.22,0.019113585293953177,99.36,0.01990827764966525
6.0,99.49,0.015976388517272056,99.3,0.02225938563933596
7.0,99.53999999999999,0.013928917543137376,99.28,0.02007529550464824
8.0,99.575,0.01286872136229767,99.18,0.026766015822067855
9.0,99.65,0.011195274567986024,99.36,0.01926282203348819
