epoch,train_acc,train_loss,test_acc,test_loss
0.0,87.345,0.3158631502073022,98.3,0.07263720240443945
1.0,95.92,0.11159537341209906,98.76,0.045756384171545504
2.0,97.245,0.07970317905839486,98.83999999999999,0.03651781985536218
3.0,97.83,0.060214985327064235,98.88,0.034597856504842636
4.0,98.065,0.054331991939416416,99.22,0.026764421095140278
5.0,98.32499999999999,0.04936764115774179,99.06,0.02943816310726106
6.0,98.515,0.04202054283004018,99.26,0.02503102571936324
7.0,98.54,0.038045018145083626,99.14,0.027007373503874988
8.0,98.72,0.03474669633551112,99.06,0.028541370609309523
9.0,98.8,0.03190991781133262,99.28,0.021665720082819463
