epoch,train_acc,train_loss,test_acc,test_loss
0.0,95.775,0.10942141928627522,97.08,0.07626815983094275
1.0,98.175,0.047939769758642475,98.26,0.050937531725503506
2.0,99.005,0.02821940111137832,98.22,0.04580674865283072
3.0,99.08500000000001,0.024380102199561233,98.88,0.031205642514396458
4.0,99.51,0.012868764046933266,98.16,0.06700398140528704
5.0,99.59,0.012835455531566816,98.94,0.036189890295645455
6.0,99.575,0.013882672931421312,98.86,0.036948578408919276
7.0,99.62,0.011021006129581859,98.36,0.05100821880623698
8.0,99.685,0.009040116045197683,98.6,0.04737347300979309
9.0,99.72999999999999,0.008509398793176854,98.86,0.045101364090805875
