epoch,train_acc,train_loss,test_acc,test_loss
0.0,45.839999999999996,1.5389944828894673,77.63,0.7105555847287178
1.0,76.96,0.6676208320624974,85.42,0.45070870146155356
2.0,83.49600000000001,0.47895605603651126,87.62,0.3748742200434208
3.0,86.436,0.3949805977089064,89.3,0.32163426503539083
4.0,88.184,0.34027717125659085,89.67,0.3079114928841591
5.0,89.39200000000001,0.3102254989195843,90.3,0.2893163122236729
6.0,90.348,0.2793686078215132,90.78,0.2698592033237219
7.0,91.186,0.25594005003875614,91.42,0.24586749561131
8.0,91.918,0.2391032128765875,91.22,0.25079461485147475
9.0,92.408,0.2204687092833373,92.05,0.237257494777441
